Quarter,Sell_Date,Ticker,Shares,Buy_Date,Buy_Price_USD,Sell_Price_USD,Holding_Days,Tax_Term,Tax_Rate_Pct,Estimated_Tax_USD,Gain_Loss_USD,Gain_Loss_Pct
2023Q1,2023-01-03,SBUX,127.34394760683159,2000-01-03,2.273630142211914,92.61473846435547,8401,Long-Term,36.1,4153.08600473545,11504.393364918145,3973.4302710402444
2023Q1,2023-01-03,AMGN,0.579685750071343,1997-01-02,9.167703628540039,234.324462890625,9497,Long-Term,36.1,47.1177795204073,130.52016487647452,2455.977727739234
2023Q3,2023-07-03,AMZN,793.0022109590882,2005-07-01,1.6454999446868896,130.22000122070312,6576,Long-Term,36.1,36807.51082632831,101959.86378484298,7813.704381526537
2023Q3,2023-07-03,AMZN,4270.376999680313,2007-07-02,3.4804999828338623,130.22000122070312,5845,Long-Term,36.1,195382.38782441168,541225.4510371515,3641.416516677484
2023Q3,2023-07-03,AMZN,1547.3459377525542,2008-01-02,4.8125,130.22000122070312,5661,Long-Term,36.1,70051.6123154968,194048.78757755345,2605.8701552353896
2023Q3,2023-07-03,GOOG,3602.2425664663665,2016-01-04,36.767822265625,119.50634765625,2737,Long-Term,36.1,107593.9699356051,298044.2380487676,225.02971427812562
2023Q3,2023-07-03,GOOGL,3335.248262482713,2007-01-03,11.598603248596191,118.84617614746094,6025,Long-Term,36.1,129128.71850108005,357697.2811664267,924.659380101179
2023Q3,2023-07-03,AAPL,1101.3415548029095,2005-07-01,1.0926426649093628,189.79917907714844,6576,Long-Term,36.1,75026.75642715553,207830.35021372724,17270.654210440585
2023Q3,2023-07-03,NVDA,2731.5099804874353,2020-07-01,9.486056327819824,42.330528259277344,1097,Long-Term,36.1,32387.11604134625,89715.00288461565,346.23947820269956
2023Q3,2023-07-03,ADBE,229.16927124813293,2019-01-02,224.57000732421875,485.2099914550781,1643,Long-Term,36.1,21562.773754923226,59730.675221393976,116.06179615720691
2023Q3,2023-07-03,CSCO,2011.7794258893505,1997-07-01,4.884831428527832,47.69333267211914,9498,Long-Term,36.1,31089.775601860656,86121.26205501567,876.355752904512
2023Q3,2023-07-03,CSCO,19.670054354010063,1998-01-02,6.227823257446289,47.69333267211914,9313,Long-Term,36.1,294.44200546520244,815.6288240033309,665.8106323922193
2023Q3,2023-07-03,ASML,134.62956461146047,2022-01-03,763.8256225585938,715.1950073242188,546,Long-Term,36.1,-2363.509798640682,-6547.118555791363,-6.366716930950362
2023Q3,2023-07-03,INTC,2549.9147039708555,1999-07-01,17.84416961669922,32.94841384887695,8768,Long-Term,36.1,13903.746940058913,38514.53445999699,84.64526260747172
2023Q3,2023-07-03,INTC,127.44910576741722,2000-01-03,24.71065330505371,32.94841384887695,8582,Long-Term,36.1,379.0121725559349,1049.8952148363849,33.336878803356015
2023Q3,2023-07-03,CMCSA,2252.4196916077594,2017-07-03,28.554025650024414,35.53919219970703,2191,Long-Term,36.1,5679.80313352505,15733.526685664958,24.462983382087998
2023Q3,2023-07-03,NFLX,1763.7065984830142,2018-07-02,39.81800079345703,44.14400100708008,1827,Long-Term,36.1,2754.3560389719287,7629.795121805897,10.86443349092982
2023Q3,2023-07-03,PEP,433.01087116593504,2019-01-02,86.69367980957031,167.15505981445312,1643,Long-Term,36.1,12577.475462657083,34840.652251127656,92.81112554181891
2023Q3,2023-07-03,SBUX,765.3181789497245,2000-01-03,2.273630142211914,91.98371887207031,8582,Long-Term,36.1,24785.09098819539,68656.76174015344,3945.676434540203
2023Q3,2023-07-03,COST,121.31728148288254,1997-01-02,8.119316101074219,519.7994995117188,9678,Long-Term,36.1,22409.309231255207,62075.64884004212,6302.010871863298
2023Q3,2023-07-03,AVGO,725.6891211326194,2018-01-02,21.053340911865234,84.53890228271484,2008,Long-Term,36.1,16631.552026132038,46070.781235822826,301.54625641895365
2023Q3,2023-07-03,TXN,264.77952169244327,2012-07-02,19.295202255249023,164.65919494628906,4018,Long-Term,36.1,13894.676452629503,38489.4084560374,753.3685875279983
2023Q3,2023-07-03,AMGN,107.94519772030358,1997-01-02,9.167703628540039,205.2061004638672,9678,Long-Term,36.1,7639.266666085022,21161.403507160725,2138.3587949444473
