Index,Ticker,Addition_Date,Stock_Pre_90,Index_Pre_90,Relative_Pre_90,Stock_Post_90,Index_Post_90,Relative_Post_90,Stock_Pre_180,Index_Pre_180,Relative_Pre_180,Stock_Post_180,Index_Post_180,Relative_Post_180,Stock_Pre_270,Index_Pre_270,Relative_Pre_270,Stock_Post_270,Index_Post_270,Relative_Post_270,Stock_Pre_365,Index_Pre_365,Relative_Pre_365,Stock_Post_365,Index_Post_365,Relative_Post_365
SP500,CINF,1997-12-18,0.7263901231846284,0.015812530228297872,0.7105775929563305,-0.046494324489865235,0.14653877980232655,-0.19303310429219178,0.756784074601331,0.09892784524959874,0.6578562293517323,-0.15768996957695158,0.14872508097578896,-0.30641505055274054,1.0093221802743289,0.22082711899775442,0.7884950612765744,-0.20174467642567295,0.0876021238722633,-0.28934680029793625,1.278241220205063,0.3198731539334321,0.958368066271631,-0.19489564517891567,0.25481103586348786,-0.4497066810424035
SP500,OMC,1997-12-24,0.08007008383604175,0.001300798342287468,0.07876928549375428,0.15706960725132868,0.18066975468424906,-0.023600147432920382,0.26224038330393373,0.05841318359393144,0.2038271997100023,0.21493104132497098,0.178064129863851,0.03686691146111998,0.5900693665474401,0.24039783777927215,0.349671528768168,0.3341693567419888,0.08930440480165469,0.24486495194033409,0.8093890315792538,0.25045599809376373,0.5589330334854901,0.457790306500675,0.3094739665961479,0.14831633990452708
SP500,NTRS,1998-01-30,0.1935487044240849,0.04952129467151556,0.14402740975256934,0.05150900593106833,0.11033984670835517,-0.05883084077728684,0.2721406582923085,0.03703041449377853,0.23511024379852996,0.05829939596031375,0.12378273491527603,-0.06548333895496228,0.5639116741974075,0.18692266113552924,0.37698901306187826,0.04635466646126174,0.06398867941642483,-0.017634012955163092,0.6437171465249685,0.2567300607160379,0.3869870858089306,0.257814176421332,0.27801690821373826,-0.02020273179240628
SP500,BEN,1998-04-29,0.2228457163311448,0.10108676506546277,0.12175895126568204,-0.17246877588593945,0.016631428139757043,-0.1891002040256965,0.19023696474624407,0.18640527338627733,0.003831691359966749,-0.37629861715749613,-0.03546665501321111,-0.340831962144285,0.27764329693466716,0.14186046436945055,0.13578283256521662,-0.41858449181883295,0.1020372758320216,-0.5206217676508545,0.8565111281849931,0.36655122729437184,0.48995990089062125,-0.25723708666649103,0.20785244529317515,-0.4650895319596662
SP500,MAR,1998-05-21,-0.016170177358370452,0.0214595488273428,-0.03762972618571325,-0.038987022886614486,-0.011175369381233535,-0.02781165350538095,-0.016170177358370452,0.0214595488273428,-0.03762972618571325,-0.15171028532454,0.025979969154564575,-0.17769025447910458,-0.016170177358370452,0.0214595488273428,-0.03762972618571325,0.060785215277222804,0.10775620893550264,-0.046970993658279836,,,,0.20141790815791705,0.19795228521144947,0.0034656229464675725
SP500,SRE,1998-06-29,,,,-0.037486818348022366,-0.07857366868864735,0.04108685034062498,,,,-0.05474591095551662,0.08151948819696608,-0.1362653991524827,,,,-0.24488711892270842,0.13137663823663392,-0.37626375715934235,,,,-0.1260771933910776,0.19192301551491497,-0.31800020890599257
SP500,COF,1998-07-01,0.46653802939361055,0.012348064690584026,0.4541899647030265,-0.09490764391586026,-0.08496015481277541,-0.00994748910308485,1.2938627614223202,0.16286510437679236,1.1309976570455278,-0.017356888961006622,0.06897118268880709,-0.08632807164981371,1.6701707008380802,0.1656745345119488,1.5044961663261314,0.16970256082741475,0.11896163679542071,0.05074092403199404,2.293182663317596,0.27250477373365567,2.02067788958394,0.3633604392795695,0.20458462692700063,0.15877581235256888
SP500,SLM,1998-07-01,0.06462568600241281,0.012348064690584026,0.05227762131182878,-0.31789987717398716,-0.08496015481277541,-0.23293972236121174,0.2330833292228469,0.16286510437679236,0.07021822484605456,-0.08246265581929269,0.06897118268880709,-0.15143383850809977,0.08544477341650158,0.1656745345119488,-0.08022976109544722,-0.11325265363638226,0.11896163679542071,-0.23221429043180297,0.34351734510010457,0.27250477373365567,0.0710125713664489,-0.06055900870616304,0.20458462692700063,-0.2651436356331637
SP500,WM,1998-07-17,0.20312596014213025,0.053699963965005315,0.14942599617712493,-0.2638759357209447,-0.1153703134601981,-0.1485056222607466,0.5608116982312465,0.20988148351982128,0.35093021471142527,-0.08211431366177657,0.04247956242312623,-0.1245938760849028,0.43255932784098805,0.23898871755593154,0.1935706102850565,-0.19877599022202574,0.13995437388732346,-0.3387303641093492,0.3853079984450698,0.2709073634366119,0.11440063500845787,-0.3616622434566027,0.1981927696559651,-0.5598550131125678
SP500,KSS,1998-08-14,0.2982951495064625,-0.027952029815616175,0.3262471793220787,-0.18865866957470012,0.031393224949802345,-0.22005189452450247,0.4427778500376065,0.050989502831669364,0.39178834720593714,0.10577971646673934,0.12907988521446256,-0.023300168747723227,0.6119931795258566,0.13602834528868524,0.4759648342371714,0.2998908185199085,0.2509434886805577,0.048947329839350795,0.7904022877594343,0.16235389499817576,0.6280483927612586,0.19847341266875018,0.22517002396528274,-0.026696611296532557
SP500,RF,1998-08-28,-0.1431905801953569,-0.04435463117081784,-0.09883594902453907,0.1736552974204595,0.23983574167837496,-0.06618044425791547,-0.12697812396757924,-0.004877336632350571,-0.12210078733522867,0.07848538340167455,0.30934522377983886,-0.23085984037816432,-0.13428220298755844,0.06957533051916798,-0.20385753350672642,0.09843678720972382,0.3417181860123606,-0.24328139880263677,0.014505498582620957,0.15372866813920472,-0.13922316955658376,0.09099049575368956,0.40843846969372,-0.31744797394003044
